"","Var1","Var2","value","treatment","growth","Name"
"1","CD8","4ND",0.00762451633757023,"Vehicle","growing","P10T2"
"2","EpCAM","4ND",0.377689258178292,"Vehicle","growing","P10T2"
"3","EpCAM: SMA","4ND",0,"Vehicle","growing","P10T2"
"4","SMA","4ND",0.504436860068259,"Vehicle","growing","P10T2"
"5","Unclass","4ND",0.110249365415878,"Vehicle","growing","P10T2"
"6","CD8","4NC",0.00813878305467377,"Vehicle","growing","P10T1"
"7","EpCAM","4NC",0.723584571380561,"Vehicle","growing","P10T1"
"8","EpCAM: SMA","4NC",0,"Vehicle","growing","P10T1"
"9","SMA","4NC",0.176530861987719,"Vehicle","growing","P10T1"
"10","Unclass","4NC",0.0917457835770463,"Vehicle","growing","P10T1"
"11","CD8","10LC",0.0100340714520434,"PDL1","growing","P24T2"
"12","EpCAM","10LC",0.296041139404701,"PDL1","growing","P24T2"
"13","EpCAM: SMA","10LC",0.167235485042575,"PDL1","growing","P24T2"
"14","SMA","10LC",0.308196749664186,"PDL1","growing","P24T2"
"15","Unclass","10LC",0.218492554436495,"PDL1","growing","P24T2"
"16","CD8","14RD",0.0103370617114103,"PDL1+LY","stable","P32T2"
"17","EpCAM","14RD",0.507712748414576,"PDL1+LY","stable","P32T2"
"18","EpCAM: SMA","14RD",0.132525465733159,"PDL1+LY","stable","P32T2"
"19","SMA","14RD",0.089090018186444,"PDL1+LY","stable","P32T2"
"20","Unclass","14RD",0.260334705954411,"PDL1+LY","stable","P32T2"
"21","CD8","15ND",0.0104720537207619,"PDL1+LY","stable","P34T3"
"22","EpCAM","15ND",0.401776130207943,"PDL1+LY","stable","P34T3"
"23","EpCAM: SMA","15ND",0.0548253825607229,"PDL1+LY","stable","P34T3"
"24","SMA","15ND",0.104215032826581,"PDL1+LY","stable","P34T3"
"25","Unclass","15ND",0.428711400683991,"PDL1+LY","stable","P34T3"
"26","CD8","15NC-D",0.010787460286585,"PDL1+LY","growing","P34T2"
"27","EpCAM","15NC-D",0.224532084116795,"PDL1+LY","growing","P34T2"
"28","EpCAM: SMA","15NC-D",0,"PDL1+LY","growing","P34T2"
"29","SMA","15NC-D",0.267973697291923,"PDL1+LY","growing","P34T2"
"30","Unclass","15NC-D",0.496706758304696,"PDL1+LY","growing","P34T2"
"31","CD8","15LB",0.0129612204366809,"PDL1+LY","growing","P33T1"
"32","EpCAM","15LB",0.215390990012716,"PDL1+LY","growing","P33T1"
"33","EpCAM: SMA","15LB",0.0414452883412291,"PDL1+LY","growing","P33T1"
"34","SMA","15LB",0.266750081135199,"PDL1+LY","growing","P33T1"
"35","Unclass","15LB",0.463452420074175,"PDL1+LY","growing","P33T1"
"36","CD8","7RB",0.0169469113521434,"LY","growing","P20T2"
"37","EpCAM","7RB",0.203565927487804,"LY","growing","P20T2"
"38","EpCAM: SMA","7RB",0.525612994299805,"LY","growing","P20T2"
"39","SMA","7RB",0.119487518539035,"LY","growing","P20T2"
"40","Unclass","7RB",0.134386648321212,"LY","growing","P20T2"
"46","CD8","8RCL",0.0176690744267719,"LY","growing","P22T1"
"47","EpCAM","8RCL",0.553603622981529,"LY","growing","P22T1"
"48","EpCAM: SMA","8RCL",0,"LY","growing","P22T1"
"49","SMA","8RCL",0.248645879366917,"LY","growing","P22T1"
"50","Unclass","8RCL",0.180081423224782,"LY","growing","P22T1"
"51","CD8","10RBL",0.0202714813177359,"PDL1","growing","P26T1"
"52","EpCAM","10RBL",0.347853361851617,"PDL1","growing","P26T1"
"53","EpCAM: SMA","10RBL",0.150545471925821,"PDL1","growing","P26T1"
"54","SMA","10RBL",0.254764664412288,"PDL1","growing","P26T1"
"55","Unclass","10RBL",0.226565020492538,"PDL1","growing","P26T1"
"56","CD8","7NB",0.0206734110298608,"LY","growing","P19T2"
"57","EpCAM","7NB",0.26649275033072,"LY","growing","P19T2"
"58","EpCAM: SMA","7NB",0,"LY","growing","P19T2"
"59","SMA","7NB",0.346743567637522,"LY","growing","P19T2"
"60","Unclass","7NB",0.366090271001897,"LY","growing","P19T2"
"61","CD8","12LD",0.0223692560965648,"PDL1","stable","P30T2"
"62","EpCAM","12LD",0.739762609411425,"PDL1","stable","P30T2"
"63","EpCAM: SMA","12LD",0.0110840920658259,"PDL1","stable","P30T2"
"64","SMA","12LD",0.0019855856535153,"PDL1","stable","P30T2"
"65","Unclass","12LD",0.224798456772669,"PDL1","stable","P30T2"
"66","CD8","11RD",0.0224452418752018,"PDL1","growing","P29T2"
"67","EpCAM","11RD",0.265034819219336,"PDL1","growing","P29T2"
"68","EpCAM: SMA","11RD",0.149355669424051,"PDL1","growing","P29T2"
"69","SMA","11RD",0.282367270310208,"PDL1","growing","P29T2"
"70","Unclass","11RD",0.280796999171204,"PDL1","growing","P29T2"
"71","CD8","10ND",0.0227194879526846,"PDL1","stable","P25T2"
"72","EpCAM","10ND",0.465147815290904,"PDL1","stable","P25T2"
"73","EpCAM: SMA","10ND",0,"PDL1","stable","P25T2"
"74","SMA","10ND",0.283720378932692,"PDL1","stable","P25T2"
"75","Unclass","10ND",0.228412317823719,"PDL1","stable","P25T2"
"76","CD8","10LB",0.0228977401821137,"PDL1","growing","P24T1"
"77","EpCAM","10LB",0.266314906408934,"PDL1","growing","P24T1"
"78","EpCAM: SMA","10LB",0.120030410542321,"PDL1","growing","P24T1"
"79","SMA","10LB",0.393649789398256,"PDL1","growing","P24T1"
"80","Unclass","10LB",0.197107153468375,"PDL1","growing","P24T1"
"81","CD8","3RC",0.0232139311385568,"Vehicle","growing","P8T2"
"82","EpCAM","3RC",0.388552877169294,"Vehicle","growing","P8T2"
"83","EpCAM: SMA","3RC",0.11600413009809,"Vehicle","growing","P8T2"
"84","SMA","3RC",0.151344267503276,"Vehicle","growing","P8T2"
"85","Unclass","3RC",0.320884794090783,"Vehicle","growing","P8T2"
"86","CD8","4LB",0.0244473882371464,"Vehicle","growing","P9T1"
"87","EpCAM","4LB",0.349872271946222,"Vehicle","growing","P9T1"
"88","EpCAM: SMA","4LB",0.105386775000532,"Vehicle","growing","P9T1"
"89","SMA","4LB",0.149662177203559,"Vehicle","growing","P9T1"
"90","Unclass","4LB",0.37063138761254,"Vehicle","growing","P9T1"
"91","CD8","5LB",0.0257829624400936,"Vehicle","growing","P12T2"
"92","EpCAM","5LB",0.470588036624371,"Vehicle","growing","P12T2"
"93","EpCAM: SMA","5LB",0,"Vehicle","growing","P12T2"
"94","SMA","5LB",0,"Vehicle","growing","P12T2"
"95","Unclass","5LB",0.503629000935536,"Vehicle","growing","P12T2"
"96","CD8","3RB",0.0266553579642389,"Vehicle","growing","P8T1"
"97","EpCAM","3RB",0.436608192400455,"Vehicle","growing","P8T1"
"98","EpCAM: SMA","3RB",0,"Vehicle","growing","P8T1"
"99","SMA","3RB",0.380376399695298,"Vehicle","growing","P8T1"
"100","Unclass","3RB",0.156360049940009,"Vehicle","growing","P8T1"
"101","CD8","4RB",0.0280096449579857,"Vehicle","growing","P11T1"
"102","EpCAM","4RB",0.30318040917295,"Vehicle","growing","P11T1"
"103","EpCAM: SMA","4RB",0.164444034127445,"Vehicle","growing","P11T1"
