"","trichrome","inf","names","names2"
"1",0.176618842694733,"inf","10L_D_Ep","10LD"
"2",NA,"grow","10R_BL_Ep","10RBL"
"3",0.133181297679202,"grow","11L_B_Ep","11LB"
"4",0.374043581170937,"inf","11N_D_Ep","11ND"
"5",0.161619227345989,"grow","11R_D_Ep","11RD"
"6",0.124598668056126,"grow","11R_C_Ep","11RC"
"7",0.276814784264216,"stab","12L_D_Ep","12LD"
"8",0.15485032053922,"stab","14N_C_Ep","14NC"
"9",NA,"stab","16L_C_Ep","16LC"
"10",0.350950798461984,"stab","17N_D_Ep","17ND"
"11",0.126077261157979,"grow","2N__Ep","2N"
"12",0.433978944576645,"inf","3N_B_Ep","3NB"
"13",0.154296069680264,"grow","3R_C_Ep","3RC"
"14",0.114344669757582,"inf","6R_B_Ep","6RB"
"15",0.445971508497105,"inf","8L_D_Ep","8LD"
"16",NA,"grow","8R_CU_Ep","8RCU"
